日時,買値,売値,出来高,スプレッド
2022-01-21 01:01:36.600,24727.985,24727.365,,0.62
2022-01-21 01:01:41.600,24729.055,24720.425,,8.63
2022-01-21 01:01:46.600,24722.765,24715.835,,6.93
2022-01-21 01:01:51.600,24723.65,24713.675,,9.975
2022-01-21 01:01:56.700,24718.945,24711.13,,7.815
2022-01-21 01:02:01.700,24716.32,24711.425,,4.895
2022-01-21 01:02:06.700,24728.965,24724.025,,4.94
2022-01-21 01:02:11.700,24735.615,24725.8,,9.815
2022-01-21 01:02:16.700,24734.285,24729.655,,4.63
2022-01-21 01:02:21.700,24736.07,24729.465,,6.605
2022-01-21 01:02:26.700,24747.84,24743.585,,4.255
2022-01-21 01:02:31.800,24749.995,24745.85,,4.145
2022-01-21 01:02:36.800,24750.0,24745.965,,4.035
